Image,Type,PSNR_Full,SSIM_Full,PSNR_Tumor,SSIM_Tumor,PSNR_Background,SSIM_Background,Time,Method
malignant_7,malignant,20.987543831503768,0.5095035556078604,22.04221633536121,0.9823568412058624,20.93830037913417,0.5479454870836286,34.58027362823486,Adaptive-HASA
malignant_7,malignant,22.749962098535214,0.5469213176371728,21.131589967688683,0.513572952930304,22.853855537410546,0.5469213176371728,11.940043687820435,Static-HASA
malignant_7,malignant,20.52792167953273,0.4938879591595049,19.472469653972105,0.9787087311484866,20.59157490908977,0.5404147297876754,0.9959471225738524,TV-only
malignant_7,malignant,16.215505767988216,0.16322289730976225,16.66967668600494,0.2557333778800706,16.19299038747081,0.16322289730976225,10.163940191268921,Wavelet-only
malignant_8,malignant,21.162541454613432,0.4991869908999908,23.82924017287643,0.9818289670338494,21.04863257043124,0.5387813454242979,34.71294331550598,Adaptive-HASA
malignant_8,malignant,22.886548232840063,0.5360215299466107,21.703656320483226,0.5109113907623266,22.966684553240192,0.5360215299466107,12.037652015686035,Static-HASA
malignant_8,malignant,20.543105827121455,0.4857259416196179,20.345901692827457,0.9786256976961196,20.554806843754303,0.5340944492708963,1.0184085369110107,TV-only
malignant_8,malignant,16.406975699885287,0.16506993920253643,16.638166169675486,0.24939221793054267,16.39384757845725,0.16506993920253643,11.386473417282104,Wavelet-only
malignant_9,malignant,21.120903388751543,0.5014086091059953,24.35744853759264,0.981380536369909,20.9955523060632,0.5367261509030278,35.33813452720642,Adaptive-HASA
malignant_9,malignant,22.761031050641694,0.5394133248223059,21.877935314749557,0.5283889575051498,22.815926923601793,0.5394133248223059,12.21067476272583,Static-HASA
malignant_9,malignant,20.59678610590249,0.4902550388638036,20.57648631955108,0.9788827437065594,20.597920374577395,0.5332532604755477,1.1089746952056885,TV-only
malignant_9,malignant,16.395486224424957,0.16455939923685112,16.64899298470817,0.26276050597192857,16.381790715365376,0.16455939923685112,12.233148097991943,Wavelet-only
